global_step;wh6zievy-escape-room-v4_noboxes - rollout/ep_len_mean;ggsmin6d-escape-room-v4_orirew-hallway01 - rollout/ep_len_mean;yek7ws5j-escape-room-v4_ori06 - rollout/ep_len_mean;afhgtkn0-escape-room-v4_morestagnationpenalty - rollout/ep_len_mean;mpvfa69w-escape-room-v4_x - rollout/ep_len_mean;4s4w8dq1-escape-room-v4_lessterminalreward - rollout/ep_len_mean
2048;500;500;500;500;500;500
4096;500;500;500;499.875;500;464.75
6144;500;500;500;499.9166564941406;500;476.5
8192;500;500;500;499.9375;500;464.058837890625
10240;500;500;500;499.95001220703125;500;470.9047546386719
12288;500;500;500;499.9583435058594;500;475.55999755859375
14336;495.8214416503906;500;492.6206970214844;496.3571472167969;487.7241516113281;478.9310302734375
16384;496.4545593261719;500;492.9696960449219;489.6666564941406;489.2121276855469;477.29412841796875
18432;496.83782958984375;495.16217041015625;493.729736328125;490.7837829589844;478.5789489746094;473.3157958984375
20480;497.1463317871094;495.6341552734375;494.3414611816406;491.68292236328125;475.93023681640625;457.93182373046875
22528;497.3999938964844;495.5555419921875;494.8444519042969;488.60870361328125;477.9787292480469;461
24576;497.61224365234375;495.61224365234375;495.26531982421875;489.5199890136719;479.70587158203125;454.4905700683594
26624;489.9444580078125;489.09259033203125;495.6226501464844;490.2962951660156;478.9454650878906;457.39654541015625
28672;489.4137878417969;478.5254211425781;495.9298095703125;490.96551513671875;478.83050537109375;457.93548583984375
30720;487.1745910644531;474.1875;495.442626953125;486;476.1875;457.47760009765625
32768;487.9403076171875;468.55072021484375;495.7878723144531;486.8358154296875;477.5882263183594;456.7042236328125
34816;477.02777099609375;466.6756896972656;496.028564453125;485.9154968261719;478.8333435058594;455.02630615234375
36864;478.51947021484375;453.2962951660156;496.2432556152344;486.6666564941406;477.98699951171875;453.3333435058594
38912;474.1585388183594;454.6823425292969;496.4358825683594;484.17498779296875;471.8902587890625;449.1046447753906
40960;470.60919189453125;450.0777893066406;492.6506042480469;484.9285583496094;469.54022216796875;446.3846130371094
43008;469.1208801269531;451.1368408203125;485.93182373046875;477.022216796875;466.64129638671875;438.4123840332031
45056;468.7916564941406;448.6400146484375;486.5434875488281;478;459.10205078125;438.989990234375
47104;468.7200012207031;444.760009765625;483.134033203125;472.080810546875;458.3800048828125;433.8999938964844
49152;457.5899963378906;441.3900146484375;482.3399963378906;469.739990234375;447.5799865722656;429.0400085449219
51200;456.07000732421875;439.6400146484375;471.04998779296875;457.92999267578125;429.5199890136719;421.7900085449219
53248;444.92999267578125;434.42999267578125;470.67999267578125;453.4200134277344;406.80999755859375;410.95001220703125
55296;439.42999267578125;431.0400085449219;462.0400085449219;451.70001220703125;395.8900146484375;405.9700012207031
57344;438.1099853515625;431.0400085449219;462.0400085449219;439.2699890136719;393.8500061035156;400.1499938964844
59392;427.2300109863281;431.0400085449219;455.30999755859375;429.92999267578125;382.5199890136719;393.760009765625
61440;409.3699951171875;424.67999267578125;445.1499938964844;425.45001220703125;374.5799865722656;390.44000244140625
63488;404.1600036621094;410.79998779296875;443.79998779296875;412.6400146484375;371.1700134277344;385.2699890136719
65536;395.3800048828125;403.45001220703125;432.04998779296875;398.8800048828125;361.3500061035156;374.25
67584;374.8399963378906;405.0899963378906;427.3500061035156;383.8999938964844;358.5299987792969;364.8699951171875
69632;360.5299987792969;402.4100036621094;416.92999267578125;375.1099853515625;348.5199890136719;357.989990234375
71680;356.3599853515625;397.92999267578125;405;358.8599853515625;339.739990234375;345.2799987792969
73728;351.67999267578125;402.6300048828125;404.7699890136719;345.739990234375;335.69000244140625;333.0400085449219
75776;338.5199890136719;402.760009765625;394.239990234375;333.2200012207031;327.79998779296875;329.7300109863281
77824;323.55999755859375;393.94000244140625;384.44000244140625;317.6499938964844;320.739990234375;322.1499938964844
79872;317.739990234375;392.29998779296875;380.29998779296875;308.07000732421875;314.3599853515625;314.05999755859375
81920;311.2900085449219;385.9599914550781;368.95001220703125;305.30999755859375;311.3800048828125;316.42999267578125
83968;299.5799865722656;390.1700134277344;358.0400085449219;290.8999938964844;309.4599914550781;309.30999755859375
86016;289.82000732421875;383.4800109863281;353.1199951171875;286.5799865722656;307.6400146484375;302.1700134277344
88064;284.32000732421875;378.8599853515625;346.4599914550781;284.4200134277344;308.5299987792969;294.17999267578125
90112;290.239990234375;376.2900085449219;343.3299865722656;277.989990234375;298.6300048828125;302.20001220703125
92160;286.1499938964844;376.9200134277344;330.45001220703125;277.3699951171875;291.20001220703125;293.3399963378906
94208;278.3699951171875;365.55999755859375;314.6700134277344;273.010009765625;280.1300048828125;291.8299865722656
96256;282.19000244140625;357.9599914550781;319.0400085449219;275.6300048828125;261;278.4800109863281
98304;278.5400085449219;361.989990234375;316.7300109863281;273.8399963378906;248.6300048828125;271.6600036621094
100352;269.489990234375;363.3399963378906;315.010009765625;263.9800109863281;252.91000366210938;282.6199951171875
102400;272.7900085449219;357.7799987792969;313.95001220703125;265.3399963378906;247.75;282.8800048828125
104448;277.5;351.6099853515625;306.9200134277344;267.0400085449219;237.3699951171875;280.489990234375
106496;265.55999755859375;357.0899963378906;304.4700012207031;267.2900085449219;235.19000244140625;279.4700012207031
108544;264.5400085449219;343.7099914550781;306.8500061035156;272.7900085449219;232.0800018310547;261.3699951171875
110592;263.19000244140625;337.8999938964844;308.1499938964844;277.6099853515625;221.0399932861328;250.50999450683594
112640;257.80999755859375;335.4800109863281;308.2900085449219;275.8699951171875;217.05999755859375;246.6199951171875
114688;252.1300048828125;326.0400085449219;308.1499938964844;274.20001220703125;213.85000610351562;230.50999450683594
116736;245.38999938964844;325.0199890136719;305.2699890136719;271.82000732421875;214.52000427246094;221.38999938964844
118784;245.3000030517578;325.8500061035156;306.25;264.70001220703125;211.52999877929688;230.16000366210938
120832;239.2100067138672;320.1000061035156;307.04998779296875;259.2200012207031;200.38999938964844;220.10000610351562
122880;235.92999267578125;305;312.32000732421875;257.4800109863281;197.6699981689453;211.86000061035156
124928;229.9499969482422;309.1300048828125;317.3299865722656;261.3299865722656;196.49000549316406;200.55999755859375
126976;216.97000122070312;301.32000732421875;306.1700134277344;260.3399963378906;190.1300048828125;198.0800018310547
129024;216.97999572753906;291.489990234375;303.8900146484375;256.8900146484375;189.52000427246094;199.94000244140625
131072;217.2100067138672;288.30999755859375;307.55999755859375;252.41000366210938;188.72000122070312;211.4600067138672
133120;210.3699951171875;281.7799987792969;306.739990234375;248.32000732421875;184.3000030517578;206.07000732421875
135168;210.11000061035156;276.57000732421875;306.3500061035156;239.99000549316406;186.5800018310547;215.7100067138672
137216;214.11000061035156;276.1099853515625;314.4200134277344;232.4600067138672;189.2899932861328;221.30999755859375
139264;200.19000244140625;276.510009765625;309.5400085449219;230.55999755859375;192.75999450683594;220.52999877929688
141312;200.97000122070312;271.69000244140625;300.5899963378906;234.77999877929688;196.99000549316406;210.58999633789062
143360;199.72000122070312;257.17999267578125;303.55999755859375;239.66000366210938;196.35000610351562;221.2100067138672
145408;202.44000244140625;258.19000244140625;302.739990234375;236.00999450683594;194.16000366210938;217.4199981689453
147456;207.6699981689453;260.5299987792969;302.760009765625;232.97000122070312;197.80999755859375;209
149504;204.30999755859375;251.39999389648438;301.3299865722656;236.1699981689453;200.97000122070312;213.8000030517578
151552;198.72000122070312;254.80999755859375;297.42999267578125;235.22000122070312;202.07000732421875;210.13999938964844
153600;203.30999755859375;256.44000244140625;296.1400146484375;237.08999633789062;194.9199981689453;209.05999755859375
155648;208.02000427246094;251.11000061035156;292.54998779296875;225.2899932861328;190.25999450683594;210.32000732421875
157696;201.58999633789062;250.13999938964844;297.5400085449219;222.58999633789062;180.39999389648438;197.8699951171875
159744;205.3800048828125;248.02000427246094;287.3900146484375;223.4499969482422;174.14999389648438;199.8699951171875
161792;206.8300018310547;249.77999877929688;281.57000732421875;223.55999755859375;174.8800048828125;202.16000366210938
163840;205.24000549316406;251.02000427246094;273.69000244140625;223.55999755859375;177.97000122070312;190
165888;196.86000061035156;248.02999877929688;270.94000244140625;222;174.4199981689453;193.38999938964844
167936;196.07000732421875;250.75999450683594;273.7699890136719;219.3300018310547;170.0399932861328;188.1699981689453
169984;192.7100067138672;231.6699981689453;265.42999267578125;220.0500030517578;168.19000244140625;190.89999389648438
172032;198.02999877929688;220.5399932861328;268.3500061035156;215.36000061035156;166.07000732421875;190.6300048828125
174080;190.61000061035156;219.88999938964844;254.7899932861328;214.6300048828125;169.0800018310547;190.35000610351562
176128;195.8699951171875;212.41000366210938;253.47000122070312;217.8699951171875;171.3699951171875;191.8699951171875
178176;196.02000427246094;206.0399932861328;254.60000610351562;220.1300048828125;167.2100067138672;185.97000122070312
180224;201.10000610351562;204.7899932861328;254.7100067138672;219.35000610351562;160.64999389648438;185
182272;192.92999267578125;192.9600067138672;256.67999267578125;218.3300018310547;159.9499969482422;182.3699951171875
184320;200.89999389648438;190.1699981689453;251.6199951171875;217.72000122070312;158.8699951171875;186.25
186368;199.27999877929688;190.16000366210938;256.0299987792969;212.41000366210938;156.3300018310547;190.52000427246094
188416;201.97999572753906;193.4600067138672;256.05999755859375;210.57000732421875;157.64999389648438;190.10000610351562
190464;195.0500030517578;200.57000732421875;251.13999938964844;205.25999450683594;157.27000427246094;181.1300048828125
192512;193.13999938964844;201.08999633789062;245.30999755859375;203.5399932861328;156.33999633789062;173.10000610351562
194560;175.8800048828125;198.3300018310547;247.5399932861328;203.33999633789062;159.80999755859375;169.94000244140625
196608;164.13999938964844;203.35000610351562;242.77000427246094;196.17999267578125;161.2899932861328;177.1199951171875
198656;157.69000244140625;208.8300018310547;247.61000061035156;195.00999450683594;167.08999633789062;177.11000061035156
200704;156.02000427246094;213.42999267578125;241.4199981689453;191.64999389648438;168.86000061035156;180.5
202752;154.19000244140625;220;238.67999267578125;192.22000122070312;170.1199951171875;179.63999938964844
